item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
норме	7	0	0.02	0	0.08	1	1.09	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	3	2.29	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	1	1.14	0	0.02	0	0.04	0	0.02	2	3.22	0	0.07	0	0.03	0	0.02
Когда	7	0	0.02	0	0.08	1	1.09	0	0.03	1	0.68	1	0.94	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	1	0.97	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	1	1.43	0	0.07	0	0.03	0	0.02
эндокард	7	0	0.02	0	0.08	0	0.04	1	1.17	2	1.60	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	2	2.42	0	0.05	0	0.02	0	0.03	0	0.02	2	1.60	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
болеть	7	0	0.02	0	0.08	0	0.04	0	0.03	2	1.60	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	3	3.65	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	2	1.60	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
жизнь	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	1	0.93	1	1.38	0	0.04	2	0.63	0	0.05	0	0.13	0	0.03	1	1.11	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
работа	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	2	1.29	0	0.05	0	0.19	0	0.06	0	0.04	1	0.93	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	1	0.92	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	1	1.03	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
15	7	0	0.02	0	0.08	0	0.04	0	0.03	2	1.60	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	1	0.62	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	2	1.60	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	1	0.64	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
ударов	7	0	0.02	0	0.08	0	0.04	0	0.03	2	1.60	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	1	1.36	1	1.14	0	0.02	2	1.60	1	0.93	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
бьется	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	1	1.28	2	2.42	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	1	1.11	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
лет	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	1	0.93	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	2	1.97	1	1.22	0	0.02
ИБС	7	0	0.02	0	0.08	0	0.04	0	0.03	2	1.60	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	1	0.92	0	0.06	0	0.02	0	0.04	2	2.21	0	0.02	0	0.03	0	0.02	2	1.60	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
клапанов	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	1	1.05	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	3	3.25	0	0.03	0	0.01	1	1.14	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
пересадка	7	0	0.02	0	0.08	0	0.04	0	0.03	1	0.68	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	1	0.89	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	1	0.68	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	3	3.25	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	1	1.38	0	0.02	0	0.07	0	0.03	0	0.02
форме	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	3	3.69	0	0.01	0	0.01	0	0.03	0	0.14	1	0.55	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	2	1.46	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
будут	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	1	0.94	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	5	2.71	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	1	0.84	0	0.03	0	0.02
всех	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	1	0.94	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	1	0.62	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	2	0.63	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	2	3.01
здоровье	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	1	1.55	1	1.77	0	0.03	0	0.14	0	0.18	0	0.05	1	0.54	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	1	1.17	2	2.16	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	1	1.29	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
самого	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	1	1.18	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	1	1.03	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	4	5.46	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	1	1.03	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
мозга	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	2	2.69	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	2	2.63	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	2	2.39	0	0.02	0	0.02	1	0.84	0	0.03	0	0.02
ум	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	2	1.50	0	0.18	0	0.05	0	0.19	1	0.89	0	0.04	3	3.66	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	1	0.41	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
дух	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	2	1.50	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	1	1.09	4	1.79	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
один	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	1	0.63	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	1	1.29	0	0.12	1	0.93	0	0.02	0	0.04	0	-0.56	2	2.26	0	0.13	0	0.03	2	2.56	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
человеческое	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	1	0.63	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	1	0.93	1	0.62	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	1	0.93	0	0.02	1	1.09	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	1	1.22	0	0.02
нашего	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	1	0.63	0	0.18	0	0.05	1	0.54	0	0.06	0	0.04	1	0.93	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	4	1.79	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
тому	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	1	0.55	1	0.97	0	0.19	0	0.06	0	0.04	1	0.93	1	0.62	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	3	1.10	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
ткани	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	6	6.65	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	1	0.97	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
мышцы	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	3	2.29	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	1	0.41	2	2.26	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
меня	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	1	0.97	1	0.54	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	4	1.79	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
своим	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	5	4.83	0	0.06	0	0.04	1	0.93	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	1	0.41	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
центр	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	1	0.54	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	2	1.84	0	0.01	0	0.00	0	0.03	0	0.06	3	3.72	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	1	0.41	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
тебя	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	2	1.25	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	5	2.71	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
ее	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	1	0.89	0	0.04	0	0.06	0	0.14	0	0.00	1	0.78	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	1	1.14	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	1	0.41	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	1	1.17	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	1	0.84	0	0.03	0	0.02
половине	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	1	1.03	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	4	5.91	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	1	1.38	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
году	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	3	2.56	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	1	0.93	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	0	0.03	0	0.01	0	0.03	0	0.02	1	1.03	1	1.38	0	0.02	0	0.07	0	0.03	0	0.02
мн	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	7	10.86	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
сеть	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	2	4.62	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	2	2.18	0	0.02	0	0.04	0	-0.56	0	0.05	0	0.13	0	0.03	0	0.04	1	0.81	1	1.17	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	1	1.33
знает	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	1	1.17	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	6	3.88	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
сказал	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	1	1.09	6	3.88	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
упорству	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	7	5.42	0	0.05	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	0	0.07	0	0.03	0	0.02
сердечную	7	0	0.02	0	0.08	0	0.04	0	0.03	0	0.12	0	0.06	0	0.01	0	0.01	0	0.03	0	0.14	0	0.18	0	0.05	0	0.19	0	0.06	0	0.04	0	0.06	0	0.14	0	0.00	0	0.09	0	0.01	0	0.00	0	0.03	0	0.06	0	0.06	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.12	0	0.06	0	0.02	0	0.04	0	-0.56	2	2.26	0	0.13	0	0.03	0	0.04	0	0.08	0	0.03	0	0.01	0	0.03	0	0.02	0	0.04	0	0.02	0	0.02	5	6.81	0	0.03	0	0.02
после	6	1	1.54	0	0.07	0	0.03	0	0.03	0	0.10	0	0.05	0	0.01	0	0.01	0	0.03	0	0.12	0	0.15	0	0.04	0	0.16	0	0.06	0	0.04	0	0.05	0	0.12	0	0.00	0	0.07	0	0.00	0	0.00	0	0.03	0	0.05	0	0.05	0	0.02	0	0.04	0	0.05	1	1.43	0	0.03	0	0.02	0	0.10	0	0.05	0	0.02	0	0.03	1	0.40	0	0.04	0	0.11	0	0.03	0	0.03	1	0.86	0	0.03	0	0.01	0	0.03	0	0.01	0	0.04	0	0.02	0	0.01	2	2.11	0	0.02	0	0.02
груди	6	0	0.01	1	0.85	0	0.03	0	0.03	0	0.10	0	0.05	0	0.01	0	0.01	1	1.24	0	0.12	0	0.15	0	0.04	0	0.16	0	0.06	0	0.04	0	0.05	1	0.66	0	0.00	0	0.07	0	0.00	0	0.00	0	0.03	0	0.05	0	0.05	0	0.02	1	1.11	0	0.05	0	0.02	0	0.03	0	0.02	0	0.10	0	0.05	0	0.02	0	0.03	0	-0.48	1	1.03	0	0.11	0	0.03	0	0.03	0	0.07	0	0.03	0	0.01	1	1.20	0	0.01	0	0.04	0	0.02	0	0.01	0	0.06	0	0.02	0	0.02
день	6	0	0.01	2	2.01	0	0.03	0	0.03	0	0.10	0	0.05	0	0.01	0	0.01	0	0.03	0	0.12	0	0.15	0	0.04	0	0.16	0	0.06	0	0.04	0	0.05	0	0.12	0	0.00	0	0.07	0	0.00	0	0.00	0	0.03	0	0.05	0	0.05	0	0.02	0	0.04	0	0.05	0	0.02	0	0.03	0	0.02	0	0.10	1	0.99	0	0.02	0	0.03	1	0.40	0	0.04	0	0.11	0	0.03	0	0.03	0	0.07	0	0.03	0	0.01	0	0.03	1	1.50	0	0.04	0	0.02	0	0.01	0	0.06	1	1.29	0	0.02
